,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance
0,1,Flamengo,38,21,8,9,68,48,20,71,1.87,78.4,35.2,43.2,1.14,
1,2,Internacional,38,20,10,8,61,35,26,70,1.84,55.3,36.2,19.1,0.5,
2,3,Atlético Mineiro,38,20,8,10,64,45,19,68,1.79,68.5,45.7,22.8,0.6,
3,4,São Paulo,38,18,12,8,59,41,18,66,1.74,54.3,39.5,14.8,0.39,
4,5,Fluminense,38,18,10,10,55,42,13,64,1.68,41.3,44.9,-3.6,-0.09,
5,6,Grêmio,38,14,17,7,53,40,13,59,1.55,54.3,41.8,12.5,0.33,
6,7,Palmeiras,38,15,13,10,51,37,14,58,1.53,52.6,39.1,13.5,0.36,
7,8,Santos,38,14,12,12,52,51,1,54,1.42,50.9,56.7,-5.7,-0.15,
8,9,Ath Paranaense,38,15,8,15,38,36,2,53,1.39,45.6,47.0,-1.4,-0.04,
9,10,Red Bull Bragantino,38,13,14,11,50,40,10,53,1.39,53.3,43.3,10.0,0.26,
10,11,Ceará,38,14,10,14,54,51,3,52,1.37,51.8,52.6,-0.8,-0.02,
11,12,Corinthians,38,13,12,13,45,45,0,51,1.34,44.1,54.4,-10.3,-0.27,
12,13,Atl Goianiense,38,12,14,12,40,45,-5,50,1.32,44.3,54.5,-10.2,-0.27,
13,14,Bahia,38,12,8,18,48,59,-11,44,1.16,55.9,57.7,-1.9,-0.05,
14,15,Sport Recife,38,12,6,20,31,50,-19,42,1.11,34.7,58.0,-23.3,-0.61,
15,16,Fortaleza,38,10,11,17,34,44,-10,41,1.08,43.2,47.8,-4.6,-0.12,
16,17,Vasco da Gama,38,10,11,17,37,56,-19,41,1.08,41.1,56.5,-15.4,-0.41,
17,18,Goiás,38,9,10,19,41,63,-22,37,0.97,39.5,61.1,-21.6,-0.57,
18,19,Coritiba,38,7,10,21,31,54,-23,31,0.82,37.9,61.4,-23.5,-0.62,
19,20,Botafogo (RJ),38,5,12,21,32,62,-30,27,0.71,51.3,64.8,-13.5,-0.36,
