,Squad,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
0,América (MG),998,26.26,716,92,64,59,45,22,71,1.87,52,2,4,6,5,2
1,Ath Paranaense,906,23.84,655,88,46,50,54,13,76,2.0,60,5,3,4,4,0
2,Atl Goianiense,712,18.74,512,55,52,40,43,10,52,1.37,35,2,7,3,4,1
3,Atlético Mineiro,959,25.24,709,77,52,43,60,18,120,3.16,82,4,8,9,11,6
4,Bahia,815,21.45,602,85,31,34,51,12,74,1.95,48,7,6,3,8,2
5,Ceará,888,23.37,611,92,57,60,56,12,59,1.55,32,6,5,12,4,0
6,Chapecoense,678,17.84,460,71,42,42,47,16,45,1.18,26,4,2,6,6,1
7,Corinthians,744,19.58,536,61,54,42,44,7,70,1.84,47,3,7,7,6,0
8,Cuiabá,751,19.76,566,64,39,37,32,13,55,1.45,34,5,2,9,5,0
9,Flamengo,1000,26.32,717,82,75,55,50,21,118,3.11,76,9,18,9,3,3
10,Fluminense,728,19.16,523,68,45,35,48,9,62,1.63,42,7,5,4,4,0
11,Fortaleza,950,25.0,686,78,67,55,55,9,68,1.79,38,11,4,9,6,0
12,Grêmio,973,25.61,733,72,65,38,48,17,77,2.03,56,2,9,5,5,0
13,Internacional,814,21.42,608,69,36,44,43,14,78,2.05,54,6,5,5,8,0
14,Juventude,718,18.89,488,65,54,40,62,9,56,1.47,36,6,4,2,8,0
15,Palmeiras,955,25.13,683,104,56,53,50,9,97,2.55,69,8,7,8,5,0
16,Red Bull Bragantino,899,23.66,672,64,53,44,56,10,92,2.42,70,7,5,7,3,0
17,Santos,820,21.58,631,53,29,43,55,9,58,1.53,42,1,3,7,5,0
18,São Paulo,790,20.79,577,74,41,46,43,9,54,1.42,35,3,3,5,7,1
19,Sport Recife,817,21.5,596,75,33,38,59,16,40,1.05,28,1,4,3,4,0
