,Squad,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Arminia,13511,11765,1692,385,25,69,487,743,147,67,48,1,9382,54,325
1,Augsburg,13035,11240,1722,415,28,159,592,784,145,56,82,1,9181,73,293
2,Bayern Munich,23780,22043,1661,434,108,149,656,736,215,102,78,5,20087,76,316
3,Bochum,13679,11928,1678,421,26,124,600,779,122,53,48,0,9624,73,261
4,Dortmund,21052,19358,1621,447,67,121,491,681,182,74,76,1,17410,73,314
5,Eint Frankfurt,17023,15216,1754,387,44,106,697,825,193,78,91,2,12628,53,357
6,Freiburg,15652,13970,1624,421,33,120,633,672,181,116,44,1,11641,58,328
7,Gladbach,17978,16210,1697,535,74,89,440,681,152,60,66,3,14537,71,315
8,Greuther Fürth,13971,12140,1762,482,24,54,478,738,138,92,37,4,10180,69,325
9,Hertha BSC,14077,12218,1786,516,30,94,505,746,141,64,66,0,10314,73,321
10,Hoffenheim,18141,16308,1763,445,36,91,703,798,190,90,52,0,14323,70,350
11,Köln,16910,14957,1886,536,26,124,829,833,181,99,57,0,12636,67,374
12,Leverkusen,18338,16593,1681,380,80,89,537,726,194,96,71,1,14735,64,328
13,Mainz 05,15000,13190,1747,415,23,60,598,818,178,101,64,0,10773,63,306
14,RB Leipzig,19771,18099,1606,504,70,63,523,644,162,72,54,0,16163,66,315
15,Stuttgart,17353,15564,1736,452,42,192,550,762,148,29,98,1,13753,53,305
16,Union Berlin,14818,13166,1588,366,31,59,663,742,138,49,71,2,10673,64,325
17,Wolfsburg,16439,14701,1664,455,44,153,619,721,147,100,34,1,12596,74,289
